id,legacy_name,new_component_name,rationale
cc18a2ec-c257-4cdf-a732-40c2c2db9f5c,Green High-Strength Concrete Mix,Concrete Admixture (Fractal Reinforcement),"Identifies the B2B product form as an admixture and its function for reinforcement, eliminating vague 'green' branding."
08a92a8f-46ae-473f-a9bb-cf3e4ee531b0,Silent-Series Dishwasher,Quiet-Operation Actuator Components (Noise Reduction),"Shifts from B2C appliance to B2B actuator components enabling quiet operation, removing brand language."
46a5116d-0cf2-4a76-af4b-7e94216ca07e,Smart Athletic Shirt,Conductive Textile Fabric (Sensing/Monitoring),"Focuses on the B2B conductive fabric component for sensing functions, eliminating B2C clothing reference."
9ecc5374-20d9-4f89-be2c-060d9c25ef26,Smart Bandage,Wound Dressing Membrane (Conductive/Healing),"Converts to B2B membrane component with conductive properties for healing, removing vague 'smart' descriptor."
980be886-231f-45a4-902b-53cc031411db,Stainless Steel Appliance Coating,Appliance Surface Coating (Corrosion Resistance),"Specifies the B2B coating for corrosion resistance on appliance surfaces, eliminating brand-like material mimicry."
8f2879d1-ad89-42c4-8fca-5e0a72a8372a,3D Printer Beds/Surfaces,Printer Bed Coating (Adhesion/Thermal),Identifies the B2B coating for printer beds enhancing adhesion and thermal properties.
4fbb109f-62da-466b-bd5a-d2f6f035c4d4,3D Printing Reinforcement,Filament Additive (Mechanical Reinforcement),Focuses on the B2B additive for filaments providing mechanical reinforcement.
c37a88ae-c64c-4118-9328-4858b1f1f0ed,3D-Printed Concrete Structures,Concrete Extrusion Admixture (Strength/Printability),Shifts to B2B admixture for concrete extrusion enhancing strength and printability.
5df99f79-aaaf-4a9e-b9ce-2afe9b2a85a3,Acoustic Dampening Materials (Electronics),Electronic Enclosure Dampening Compound (Vibration Absorption),Specifies B2B compound for enclosures absorbing vibrations in electronics.
4406059d-9e71-4981-89d5-71c10f837e57,Acoustic Metamaterials,Metamaterial Composite (Sound Manipulation),Identifies B2B composite for metamaterials enabling sound manipulation.
a8a4aca9-8377-4a40-a036-cb9cd3deb44f,Advanced Water Purification Filter (Personal/Home),Filtration Membrane (Contaminant Removal),"Converts to B2B membrane for filtration with contaminant removal function, eliminating B2C context."
6fcfd01b-5ff3-4756-952f-2ba45294623e,Aerogels (Graphene-Based),Aerogel Composite (Thermal Insulation),Focuses on B2B composite form for aerogels providing thermal insulation.
f7a92e71-153a-4b0e-be0c-3dd47cfd8d99,Aerospace Actuators,Actuator Composite (Lightweight/Strength),Specifies B2B composite for actuators emphasizing lightweight and strength properties.
